Bew.-Nr.;Firmenname;Adresse;PLZ;Ort/Region;Kategorie;Weitere Aktivitäten;Tierart
52281402;Burämetzg Thürig AG;Bahnhofstrasse 2;9615;Dietfurt SG;SH;SH(II);B, C, O, P, S
65317079;Buure-Metzg Kym;Riburgerstr. 35;4313;Möhlin AG;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
55035018;Cassani Metzg GmbH;Quartnerstrasse 19;8882;Unterterzen SG;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
70147732;Commune de Val de Bagnes;Place Centrale ;1934;Le Châble VS VS;SH;;B, C, O, P, S
75365146;"Cooperative d'Exploitation de l'Abattoir Régional de Rolle &amp; Environs (CARRE)";Creux-du-Mas 4;1180;Rolle VD;SH, CP;;B, C, O, P, S
CH70147711;De Biasio Kevin;Chemin des Lavoirs ;2854;Bassecourt JU;SH;SH(III), GHE(IV);B, C, O, P
43213424;Diethelm-Schnellmann Wendelin;Höhgadenstrasse 45;8852;Altendorf SZ;SH;;B, C, O, P
40931729;Dobler Adrian;Eggethof 83;8585;Langrickenbach TG;SH;SH(II), SH(III), GHE(IV);B, C, O, P
41023535;Dorfmetzg Gebr. Müller;Zürcherstrasse 31;4332;Stein AG AG;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
65907179;Dorfmetzg GmbH;Dorfmetzg GmbH ;6196;Marbach LU LU;SH;;B, C, O, P
54430007;Dorfmetzg Langnau AG;Mitteldorf ;6262;Langnau b. Reiden LU;SH;;B, C, O, P, S
46126839;Dorfmetzg Tanner AG;Felseggstrasse 24;9247;Henau SG;SH;MP(V), PP(VI);B, C, O, P
64503975;Dorfmetzg Wüthrich;;3534;Signau BE;SH;SH(III);B, C, O, P
41441292;Dorfplatz-Zentrum Moser Muster;Dorfstrasse 10-14;3662;Seftigen BE;SH;;B, C, O, P
40586561;Eggs Beat;;3998;Reckingen VS VS;SH;SH(III);B, C, O, P, S
70147952;"Einwohnergemeinde &amp; Schlachthaus";Hirsackerstrasse 2;5272;Gansingen AG;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
73044356;Etablisements de la Plaine de l'Orbe;La Colonie ;1350;Orbe VD;SH;;
50683631;Etablissement de détention fribourgeois EDFR -Bellechasse;Bellechasse ;1786;Sugiez FR;SH, CP;PP(VI);B, C, O, P
50322658;Felix Ulmann AG;Hauptstrasse 181;5732;Zetzwil AG;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
155;FF Frischfleisch AG;Zeughausstrasse 14;6210;Sursee LU;SH, CP;CP(II), MM(V), MP(V);B, C, O, P
CH-155;FF Frischfleisch AG;Zeughausstrasse 14;6210;Sursee LU;SH, CP;CP(II), MM(V), MP(V);B, C, O, P
70218990;Fischbacher Buremetzg AG;Lerchenfeld ;9601;Lütisburg Station SG;SH;;B, C, O, P, S
65986542;"Fleisch und Brau AG - Schlachthof &amp; Wursterei";Dorfstr. 2;1717;St. Ursen FR;SH;SH(III);B, C, O, P
64702269;Fleischgewinnung appenzeller fleisch und feinkost ag;Mettlenstrasse 29;9050;Appenzell AI;SH, CP;SH(II), CP(II), SH(III), CP(III), CP(IV), GHE(IV);B, C, O, P, S
65378967;Fleischhuis Obwalden AG;Industriestrasse 12;6064;Kerns OW;SH;;B, C, O, P
99362466;Fleischwerkstatt Röthenbach AG Samuel Winkelmann;Kreuzfeldweg 18;3373;Röthenbach Herzogenbuchsee BE;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
41650988;Forster Metzgerei GmbH;Bischofszellerstrasse 338;9212;Arnegg SG;SH;;B, C, O, P, S
70601095;Fritschi Reinhard;Bergstrasse 5;8416;Flaach ZH;SH;SH(II), SH(III);B, C, O, P, S
40865893;Fuchs Urs;Dorf 44;9035;Grub AR AR;SH;SH(II), GHE(IV);B, C, O, P
15773782;Föhn Lukas;Stoosstrasse 23;6436;Ried (Muotathal) SZ;SH;;B, C, O, P
CH63569388;Gatherat Alain;Rte de France 6;2926;Boncourt JU;SH;SH(II), SH(III);B, C, O
70149111;Gemeinde Eglisau Schlachtlokal;Obergass 17;8193;Eglisau ZH;SH;SH(II), SH(III);B, C, O, P, S
70149106;Gemeinde Unterstammheim;Gemeindehausplatz 2;8476;Unterstammheim ZH;SH;SH(II), SH(III);B, C, O, P, S
70218461;Gemeindekanzlei Mandach;Hauptstrasse 170;5318;Mandach AG;SH;SH(II), SH(III);B, C, O, P, S
70594946;Gemeindeverwaltung Marthalen;Altemerstr. ;8460;Marthalen ZH;SH;SH(II), SH(III);B, C, O, P
67723624;Gen.Schlachthaus Sense Oberland;Zollhaus 536;1716;Plaffeien FR;SH, CP;SH(III), CP(III), CP(IV), MM(V), MP(V), PP(VI);B, C, O, P, S
16638918;Genossenschaft Fleisch und Wild Chläggi;Schlachthaus ;8215;Hallau SH;SH, CP;CS(0), SH(II), CP(II), SH(III), CP(III), CP(IV), GHE(IV);B, C, O, P, S
84110623;Genossenschaft Schlachthaus Gampel;;3945;Gampel VS;SH;SH(III);B, C, O, P, S
40478521;"Grandjean &amp; Fils SA";Rte de Genève 2;1033;Cheseaux-sur-Lausanne VD;SH, CP;;B, C, O, P, S
70833175;H.R. Kyburz Vieh + Fleisch AG;Dorfstrasse 32;5242;Lupfig AG;SH, CP;CS(0), SH(II), CP(II), SH(III), CP(III), CP(IV), GHE(IV), MM(V), MP(V), MSM(V), PP(VI);B, C, O, P, S
CH 6173292;Haenni Philippe;Grand'Rue 18;1083;Mézières VD VD;SH, CP;;B, P
ZB-70149085;Hans und Wurst Naturmetzg GmbH;Chorbstr. 2;8462;Rheinau ZH;SH;;B
70149085;Hans und Wurst Naturmetzg GmbH;Chorbstr. 2;8462;Rheinau ZH;SH;SH(II), SH(III);B, C, O, P, S
70149499;Hasler Pascal;Hagenwil am Nollen (Schlachthaus) ;9514;Wuppenau TG;SH;SH(II), SH(III);B, C, O, P
68593094;Hausschlachtanlage Degersheim und Umgebung AG;Grüenaustrasse 10;9113;Degersheim SG;SH;;B, C, O, P, S
63432113;Heinrich-Hürlimann Remo;Sonnenbergstrasse 7;6415;Arth SZ;SH;;B, C, O, P
64272406;Heinzer Metzgerei GmbH;Hauptstrasse 23;6436;Muotathal SZ;SH, CP;CP(II), PP(VI);B, C, O, P
70148689;Hinni-Thomet Christian;Gaselstrasse 176;3144;Gasel BE;SH;SH(II), SH(III), GHE(IV);B, C, O, P
40983402;Hobi Andreas;Weinfelderstrasse 67;9543;St. Margarethen TG TG;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
42417977;Hofmann Josef;Brüschhalde ;6403;Küssnacht am Rigi SZ;SH;;B, C, O, P
41029778;"Huwyler Metzgerei &amp; Partyservice GmbH";Oberdorf 1;5637;Beinwil (Freiamt) AG;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
40944508;Hälg Metzgerei AG;Bahnhofstrasse 75;9315;Neukirch (Egnach) TG;SH;SH(II);B, C, O, P
41683873;Häller Fleischprodukte AG;Altishoferstr. 36;6252;Dagmersellen LU;SH;;B, C, O, P
79870279;IG Fleisch vom Reiat;;8242;Bibern SH SH;SH;SH(II), SH(III);B, C, O, P, S
70147910;IG Schlachthausverein Alterswilen;Ellighauserstrasse 11;8573;Alterswilen TG;SH;SH(II), SH(III), GHE(IV);B, C, O, P
70600861;IG Schlachtlokal obere Schwanden;Obere Schwandenstrasse 17.1;8833;Samstagern ZH;SH;SH(II), SH(III);B, C, O, P, S
88504378;Il Nuovo Macello Avegno Sagl;In di Salécc 21;6670;Avegno TI;SH;;B, C, O, P, S
45123852;Isenegger - Metzgerei;Luzernerstrasse 26;6037;Root LU;SH;;B, C, O, P
85808642;JG Viandes Sàrl;Route du Simplon 7;1906;Charrat VS;SH;SH(II);B, C, O, P, S
55337153;Joël Rigolet;rte de Sorens 72;1689;Le Châtelard-près-Romont FR;SH, CP;;B, C, O, P
61463166;Jost Ernst jun.;Hauptstrasse 12;4438;Langenbruck BL;SH;;B, C, O, P
80596687;Kalberer Martin;Brunnenwiesenstrasse 37;8887;Mels SG;SH;;B, C, O, P, S
64226389;Kast GmbH Metzgerei;Neugasse 8;9442;Berneck SG;SH;;B, C, O, P, S
41686937;Kloster-Metzgerei Haas AG;Murhofstr. 2;4915;St. Urban LU;SH, CP;CP(II), CP(III), MP(V), PP(VI);B, C, O, P, S
42567362;Kobler René;Grundstrasse 10;9464;Rüthi (Rheintal) SG;SH;SH(III);B, C, O, P, S
67765142;Kronenmetzg GmbH;Hauptstrasse 23;6418;Rothenthurm SZ;SH;;B, C, O, P
66218967;Krucker Philipp;Dorf 4;9527;Niederhelfenschwil SG;SH;SH(II);B, C, O, P, S
80497730;Kundenmetzgerei Bamert Ulrich;Grund 565;9044;Wald AR AR;SH;SH(II), GHE(IV);B, C, O, P, S
A10607115;Kundenmetzgerei Kohler;Industriestrasse 18;3422;Rüdtligen BE;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
71467255;Kundenmetzgerei Tellenbach;;3365;Grasswil BE;SH;SH(II), SH(III), GHE(IV);B, C, O, P
41512257;Kümin Feinkost GmbH;Chilestrasse 4;6026;Rain LU;SH;;B, C, O, P
40190930;Kündig Adolf;Rickenbachstrasse 50;6430;Schwyz SZ;SH;;B, C, O, P
42137746;Küpfer's Dorfmetzg GmbH;Oberdorf ;6262;Langnau b. Reiden LU;SH, CP;PP(VI);B, C, O, P
94118366;Köferli AG Metzgerei Köferli Albert;Winkel ;5312;Döttingen AG;SH;SH(II), SH(III);B, C, O, P, S
77315719;La Campagnarde Sàrl;Rue du Carroz 12;1071;Chexbres VD;SH, CP;;B, C, O, P, S
67782635;Landmetzg Hinterland GmbH;Mööslimatten 16;6218;Ettiswil LU;SH;;B, C, O, P
50360779;Landmetzg Keist;Gondiswilerstrasse 6;6146;Grossdietwil LU;SH;;B, C, O, P
70218681;Landmetzgerei Wattenwil GmbH;Blumensteinstrasse 35b;3665;Wattenwil BE;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
52438422;Landwirtschaftliches Zentrum SG;Rheinhof 11;9465;Salez SG;SH;;B, C, O, P
41726982;Laternser Oskar;Dorfstrasse 39;8873;Amden SG;SH;SH(III);B, C, O
70218812;Les Tchacaîons du Jorat SNC;Rte du Nord 15;1076;Ferlens VD VD;SH, CP;SH(II), CP(II), CP(IV), GHE(IV);B, C, O, P
67691538;Lippuner Stüdtlimetzg AG;Wiedenstrasse 19;9470;Buchs SG SG;SH;;B, C, O, P, S
92916998;Lussi-Vogler Michael;Rochushostatt 1;6370;Oberdorf NW NW;SH;;B, C, O, P
80622944;Macelleria Cavargna;Via Campagnora 2;6713;Malvaglia TI;SH;;B, C, O, P, S
A40099936;Macelleria Fratelli Freddi;Via Cantonale ;6655;Intragna TI;SH;;B, C, O
70678543;Macelleria Mattioli SA;Via Petronilla 67;6746;Lavorgo TI;SH;;B, C, O, P, S
80623047;Macelleria Piccoli;;6776;Piotta TI;SH;;B, C, O, P, S
65600737;Macelleria Vescovi Arno Sagl;;6718;Olivone TI;SH;;B, C, O, P, S
44123201;Macello Bacchini;;6544;Braggio GR;SH;;B, C
80610472;Macello Branchi;La Presa da Sot ;7743;Brusio GR;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
CH-70678501;Macello Cassa Bestiame Olivone;C/O Urietti Gino ;6718;Olivone TI;SH;;B, C, O, P, S
